year,var,loading,explained_var
2014,ku1m,-0.13496314029499923,0.30050928052358494
2014,ku701,0.1998152210103974,0.30050928052358494
2014,ku702,0.5767651433572992,0.30050928052358494
2014,ku703,-0.0710907986123946,0.30050928052358494
2014,ku704,0.17129250037427077,0.30050928052358494
2014,ku705,0.5669212363434185,0.30050928052358494
2014,ku802,-0.5033945640085363,0.30050928052358494
2016,ku1m,-0.1317968065675011,0.39074747687292494
2016,ku701,0.5005409049840861,0.39074747687292494
2016,ku702,0.4819472211721665,0.39074747687292494
2016,ku703,-0.20098156356353983,0.39074747687292494
2016,ku704,-0.13783634200334663,0.39074747687292494
2016,ku705,0.47259648459488895,0.39074747687292494
2016,ku802,-0.46591350796042924,0.39074747687292494
2018,qu1m,-0.09823330095398392,0.3541894947409396
2018,qu201,-0.39433363202954286,0.3541894947409396
2018,qu202,-0.37795931226581186,0.3541894947409396
2018,qu701,0.42134090571157523,0.3541894947409396
2018,qu702,0.4186545264850252,0.3541894947409396
2018,qu703,-0.10703481260634991,0.3541894947409396
2018,qu704,-0.0019331719647992223,0.3541894947409396
2018,qu705,0.3597615936106906,0.3541894947409396
2018,qu802,-0.3849101390544677,0.3541894947409396
2018,qn202,-0.2239504063082311,0.3541894947409396
2020,qu201,0.467155792178492,0.3475926058772682
2020,qu202,0.45876016424121113,0.3475926058772682
2020,qu802,0.4880223211363239,0.3475926058772682
2020,qn202,0.06623462157788786,0.3475926058772682
2020,qu91,0.3671689580069179,0.3475926058772682
2020,qu94,0.44038474405084266,0.3475926058772682
