term,coef,se,t,p,n,r2
const,-4.6966436737967285,0.4143278220851108,-11.335573966915378,8.745685136355565e-30,2555,0.09977355069819105
asset,-2.3700937195926507e-07,5.7884776307025845e-08,-4.094502684127981,4.2307551284580235e-05,2555,0.09977355069819105
asset_log,0.25080230470147274,0.030478201916108432,8.22890751205759,1.8892857743345757e-16,2555,0.09977355069819105
health,-0.0638569293731992,0.01385425856874206,-4.609191394570405,4.0423807410662184e-06,2555,0.09977355069819105
age,0.0029966910723390676,0.0016613489314919812,1.8037698255524666,0.07126739803228586,2555,0.09977355069819105
income,-9.27696387478798e-07,6.647754207845296e-07,-1.3955034414238485,0.16286407773917577,2555,0.09977355069819105
income_log,0.1827851844148089,0.03837340758303419,4.763329501538004,1.904245135819415e-06,2555,0.09977355069819105
AI_Index,0.09770305070929755,0.029296904309520946,3.3349274611770463,0.0008532165299322584,2555,0.09977355069819105
